nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_previstas
GetMalas,"GetMalas é um serviço de aluguel de malas de viagem fundado em 2013 no Brasil. Nosso objetivo é oferecer uma alternativa de consumo mais consciente e econômica através de um processo totalmente online e com franquias por todo Brasil, e em expansão pela América Latina.
GetMalas is a luggage rental service founded in 2013 in Brazil. Our goal is to offer a more conscious and economical consuming alternative through a 100% online process with franchisees in Brazil and in expansion through Latin America.
GetMalas es un servicio de alquiller de valijas fundado en 2013 en Brasil. Nuestro objetivo es ofrecer una alternativa de consumo más consciente y económico a través de un proceso totalmente online, con franquicias por todo Brasil y en expansión en América Latina.",Startup,Logística,,,Executores Diretos das Missões,0,0,0,0,0,0,
Gestão Click,"O GestãoClick é um software de gestão empresarial que ajuda a milhares de empresas a melhorar a organização, controle e produtividade. Usamos a tecnologia para simplificar o que é complexo e burocrático na sua gestão.",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
GERENCIANET,"a Gerencianet é um intermediador de pagamentos que oferece soluções em boletos, carnês e cartão de crédito para empresas e autônomos de todo o Brasil. O time da empresa é composto por especialistas de diversas áreas, preparados para ajudar empreendedores a melhorarem o processo de gestão dos recebimentos. A Gerencianet possui escritórios em Ouro Preto, Belo Horizonte e São Paulo",Startup,Finanças,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Geoadmin,Ajuda o produtor rural e agroindústrias a se manterem em dia com suas obrigações legais.,Startup,Tecnologia da informação,,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Genyo - Gestão Inteligente,O Genyo é um sistema de gestão de pessoas por controle de ponto eletrônico que tem a mobilidade como aliada tecnológica para empresas de todos os tamanhos.,Startup,Gestão de negócios,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Geaap,"A Geaap Agrociências é uma empresa especializada em serviços de agricultura de precisão. Sediada em Uberlândia/MG, nasceu em 2008 para dar suporte à uma parcela crescente de produtores rurais de alta tecnologia na busca por aumentos na produtividade e melhoria na rentabilidade de suas lavouras.",Startup,Agronegócio,,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
GAP SISTEMAS,"GAP SISTEMAS é uma startup focada em desenvolvimento de soluções nas áreas de Segurança do Trabalho, Saúde Ocupacional e Meio Ambiente (SSMA). Nosso negócio é auxiliar organizações dos mais variados portes e segmentos para otimização de processos, compliance e realizando imersão na tendência da indústria 4.0.
A empresa é uma subsidiária da GAP SSMA, que atua há mais de 12 anos na área de SSMA junto a empresas multinacionais em diversos segmentos.",Startup,Agronegócio,,2. Operação,Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania"
Ganhe de volta,"Aqui você encontra cupons de desconto das melhores lojas e ainda recebe de volta uma parte do valor gasto nas suas compras, direto na sua conta bancária ou PayPal",Startup,Finanças,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
GAMIFIC,"A Gamific é uma plataforma de gestão baseada no conceito de gamificação para aumentar o desempenho e a produtividade de equipes. Com a plataforma Gamific, o trabalho, operacional ou não, se transforma em um jogo de competição saudável que gera engajamento entre os colaboradores.",Startup,Jogos,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Galax Pay,"O Galax Pay ajuda empresas a gerenciarem seus recebimentos, seja por boleto ou cartão de crédito. Nossa plataforma é focada na automatização das cobranças e redução da inadimplência. Como serviços temos o recebimento recorrente por cartão de crédito, emissão automatizada de boletos bancários, emissões automáticas de NFS-e, pagamento de contas e realização de transferências.
Temos como missão revolucionar a forma em que as empresas fazem suas cobranças, recebimentos e transferência de recursos, aplicando tecnologia de ponta, reduzindo a inadimplência e aumentando a retenção de clientes.",Startup,Finanças,,4. Escala,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Gaio Innotech,"O Gaio é uma Plataforma de Análise de Dados para empresas que permite conectar dados diversos, preparar informações, usar modelos preditivos, obter conselhos do que fazer, entregando tudo isso através de comandos de voz, obtendo respostas em áudio, gráficos e painéis.",Startup,Tecnologia da informação,,2. Operação,Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital"
GA Agrosoluções,"A GA Agrosoluções possui 3 produtos: GA FROTA, GERENTE AGRÍCOLA e o IGA. O software GA FROTA é um software exclusivo para atender as necessidades e otimizar as operações de sua Central de Rastreamento. O sistema GERENTE AGRÍCOLA é um sistema integrado de dois grandes módulos, o Agrícola e o Financeiro. No Agrícola, são controlados os custos, e no Financeiro, as despesas. A principal característica do software é a facilidade de utilização, os controles básicos e específicos para controle e gerenciamento da Fazenda.
O IGA é uma erramenta de análise comparativa de custo entre produtores por região e cultura, que fornecem informações para tomada de decisão e reestruturação dos processos administrativos visando à eliminação de custos e aumento de performance. Para tanto, conta com uma equipe multidisciplinar com longa experiência no agronegócio na assessoria do seu planejamento agrícola e financeiro.",Startup,Agronegócio,,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
G&M Soluções,"Atuando em vários seguimentos como Engenharia e projetos, Instalações elétricas Industriais e prediais, automação, Painéis e Quadros Elétricos, Energia Solar e Cabeamento de Redes estruturadas a GM Soluções Elétricas torna-se a melhor e mais completa solução para obras industriais e prediais.",Startup,Energia,,,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
FUSION Tecnologia,"Ferramentas para otimizar o gerenciamento de processos e empresas, ERP's personalizadas, digitalização de informações, Data Analysis para formação de relatórios automáticos e suporte para tomada de decisão, através de Aplicações WEB, Softwares e Aplicativos. Soluções para inspeção de qualidade e manutenção, e medição de objetos através de Software com Visão Computacional. Sistemas que integram hardware e software, medindo utilização, disponibilidade e produtividade de equipamentos, assim como rastreabilidade dos mesmos, integrando estas informações aos dados do processo e operação.",Startup,Tecnologia da informação,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Funday,A FUNDAY é o jeito mais seguro de buscar passeios e atividades de lazer e turismo. Aqui você encontra os serviços melhor avaliados e comentados por quem realmente entende de curtir a vida: nossos clientes.,Startup,Turismo,,2. Operação,Executores Diretos das Missões,0,0,0,0,0,0,
Freelaw,"Novas oportunidades no Direito, conectamos escritórios de advocacia a
profissionais qualificados para executar demandas jurídicas específicas.",Startup,Direito,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Freedriver,Mobilidade Urbana,Startup,Mobilidade,,2. Operação,Executores Diretos das Missões,0,0,1,0,0,0,M3 Infra Mobilidade
ForSócios,"Ser mais que um programa de sócios exclusivo para jovens e universitários, proporcionando experiências inovadoras, únicas e inesquecíveis, além de oferecer uma renda extra e profissionalizar as entidades estudantis em todo País, dando suporte e ferramentas de controle e gestão.",Startup,Finanças,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
FormaBot,"FormaBot automatiza os processos, com a
comodidade de impressão, atendimento 24/7,
tráfego de clientes e minimiza os erros para as
empresas que contam com suas soluções de
Chatbot.",Startup,Gestão de negócios,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Foozi,Peça pelo aplicativo e receba seu prato na hora de cozinheiros qualificados | Disponível na App Store e Google Play | foozi.com,Startup,Alimentos,,,Executores Diretos das Missões,0,0,0,0,0,0,
FóIE Energia Solar,"A FóIE (Fóton Inteligência Energética) é uma empresa de engenharia com foco em energia solar, nasceu com ideais de energia eficiente, de fonte limpa e inesgotável.",Startup,Energia,,,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Flowins,Possibilitamos um relacionamento em rede para o café; com foco na valorização de hábitos mais sustentáveis.,Startup,Agronegócio,,,Executores Diretos das Missões,0,0,0,0,0,0,
Flip Lab,"Conectamos o data driven design com os objetivos de negócio da sua empresa.
Utilizando a inteligência coletiva e com o auxílio de ferramentas e tecnologias, a Flip ajuda empresas no desenvolvimento de produtos e serviços digitais para a simplificação de processos e contínua entrega de experiências positivas para as pessoas.",Startup,Tecnologia da informação,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Flapper,"🇧🇷 A Flapper une as melhores frotas e ofertas de helicópteros e jatos privados do Brasil para oferecer uma experiência de voo privado revolucionária. Faça do seu jeito! Frete seu próprio avião ou junte-se a outros membros da Flapper em um voo compartilhado! 
 
 Com a Flapper, você economiza de 5-30% no fretamento de aviões. Assim, com uma rede de mais de 20 operadores de táxi aéreo, a Flapper garante a mais completa oferta do mercado de aviação privada, incluindo: jatos, turbo-helices e helicópteros.
 
 Nosso serviço revolucionário de voos compartilhados permite que você voe em uma aeronave privada pelo preço de um assento da classe econômica premium. O serviço está disponível no trecho Rio-São Paulo, com decolagem garantida.
 
 Fique conectado. Faça o download do app da Flapper e explore a sua nova Primeira Classe.
 
 OBS. Todos os parceiros da Flapper operam com jatos, turbo-hélices e helicópteros certificados e regulamentados pela ANAC.
 
 
 🇬🇧 Flapper draws together Brazil's best helicopter and private jet fleets to deliver a revolutionary private flight experience. Have it your way - indulge in a private jet charter or join other Flapper members on a shared flight. 
 
 With Flapper, you save up to 5-30% on your private jet charters. Actively working with more than 20 air taxi operators, Flapper guarantees the most complete private aviation offer in Brazil, including jets, turbo-props and helicopters.
 
 Our revolutionary shared flights service allows you to fly on private aircraft at the price of premium economy. The service is currently available between São Paulo and Rio de Janeiro, with a guaranteed departure. Occasional “empty leg” offers are posted in real-time at the price tag of up to 60% lower than the market place. 
 
 Obs: All Flapper partners operate exclusively certified jets, turbo-propellers and helicopters, regulated by the Brazilian Civil Aviation Authority under the RBAC 135 framework.
 
 Cel: (11) 999 39-8614
 Email: support@flyflapper.com",Startup,Mobilidade,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Fixbitt,"Ajudamos quem busca se encontrar em novas possibilidades ou aprimorar seu estilo & imagem, com confiança, autoestima & originalidade.",Startup,Moda,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
FITTIBANK,"O Fittibank é uma Fintech (Startup) inovadora, que tem como premissa, oferecer uma série de produtos digitais aos seus clientes, com foco em 8 pilares: ""Emissões de cartões"", ""comercialização de apólices de seguros"", ""meios de pagamentos"", ""contas e wallets digitais"", ""oferta de crédito"", ""câmbio"", ""criptomoedas"", ""investimentos e produtos financeiros"". Alguns desses produtos e serviços já se encontram disponíveis, e os demais estarão disponíveis em breve.",Startup,Finanças,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Fitnova,"A solução da FITNOVA é oferecer uma plataforma de Educação Física à Distância que pode ser utilizada por alunos e professores. A FITNOVA é uma ferramenta simples mas completa, que permite organização, controle e acompanhamento da sua prática de atividades físicas. Em poucos passos, alunos e professores realizam a montagem de treinamentos personalizados. A FITNOVA também oferece um catálogo com mais de mil exercícios, com fotos e vídeos, além de explicações de como fazer.",Startup,Saúde,,,Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Fisio Go,"Esqueça a ideia de meses de Fisioterapia.
Na Fisio Go optamos por uma abordagem muito diferente das clínicas tradicionais:
Em vez de apostarmos numa política de sessões intermináveis de tratamento onde aplicamos o mesmo tratamento às cegas a toda a gente, preferirmos tirar partido do conhecimento que existe sobre o corpo humano para tratar cada problema de forma individual. Cada caso é um caso. Abordando cada pessoa de uma forma individual, conseguimos um tratamento muito mais eficaz e em muito menos tempo.
Claro que para o conseguirmos, precisamos de profissionais qualificados que estejam sempre a par das mais recentes novidades na área da reabilitação física.
Para garanti-lo, a nossa equipa encontra-se em formação contínua desde o momento que entra para o mundo da reabilitação. E adoramos o que fazemos!
Temos também acesso a tecnologia de referência mundial no que diz respeito a reabilitação de lesões e recuperação/preparação de atletas (T Plus Wintecare - https://wintecare.ch/). Esta tecnologia permite tornar os tratamentos rápidos, ainda mais rápidos, ainda mais eficientes!
Resumo:
- Resultados muito melhores
- Resultados muito mais rápidos
- Perder menos tempo na massadora Fisioterapia
- Poupar dinheiro
- Regressar mais rapidamente às suas práticas diárias (treinar sem dor, voltar ao trabalho, fazer o que lhe apetece sem dores e sem limitações).",Startup,Saúde,,,Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Fiscoserv,"A Fiscoserv é uma empresa que nasceu para desenvolver soluções de Ciência de Dados para transformar a Contabilidade e Finanças das empresas. Realizamos através de conceitos de Business Analytics cruzamento de dados do cenário atual da empresa com indicadores do mercado, e através de Dashboards interativos auxiliamos na tomada de decisões nas estratégias de venda, estoque, fornecedores, etc. E utilizando Inteligência artificial geramos insights, diagnósticos e previsões de resultados e custo da empresa, que permitem uma perspectiva futura para um melhor planejamento do negócio.",Startup,Tecnologia da informação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Find Tattoo,"A Find Tattoo é um site feito para tatuadores e clientes! Para se cadastrar é simples e rápido basta seu nome, endereço, dias e horários de trabalho e fazer updates das suas fotos de portfólio! Pronto! Seu cadastro está feito e disponível para todos aqueles que amam a arte do rabisco. Com a FT você aumenta a sua visibilidade online conseguindo assim atrair mais clientes.
Você cliente e amante dessa arte, consegue achar o estilo de tatuagem que deseja com uma variedade de portfólios e tatuadores, podendo escolher aquele que mais te agrada e ali mesmo achando como contactá-lo e qual a proximidade dele de você.
Nosso blog é cheio de conteúdos massa! Que vão desde curiosidades até dicas de cuidados com a tatuagem! E se você tatuador tá precisando daquela ajuda – temos conteúdos feitos diretamente para vocês – desde como encontrar a melhor tinta ou agulha para satisfazer a sua clientela até como administrar seu estúdio.
Tamo junto!",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Finance Network,Sua rede de negócios para envio e recebimento de transações financeiras e comerciais.,Startup,Finanças,,2. Operação,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Fina - Antecipação de Recebíveis,"Em tempos de acesso cada vez mais restrito a crédito, a antecipação de recebíveis aparece como solução mais viável para aliviar o seu fluxo de caixa. Na Fina, nosso procedimento é extremamente simplificado. Basta você realizar um cadastro inteiramente digital e automatizado, enviar as NF’s com vencimento futuro também de forma online e receber o dinheiro em alguns dias.
E o melhor: não trabalhamos com análise de crédito. Devido ao nosso modelo de negócios, a análise acontece somente junto a empresa âncora (sacado), enquanto demais fornecedores poderão antecipar recebíveis sem maiores problemas, independentemente de sua atual situação.",Startup,Finanças,,4. Escala,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
FIGGY,"O Figgy é uma ferramenta de pesquisa de medicamentos, de uso gratuito, que oferece informações completas sobre os produtos pesquisados. Informa também as drogarias mais próximas a você e os valores dos produtos buscados.",Startup,Varejo,,2. Operação,Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Fenanx Corp,"A Fenanx Corp é uma empresa de Publicidade e Marketing onde cria websites, softwares, aplicativos mobile entre outros serviços.",Startup,Tecnologia da informação,,,Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Fazendinha em Casa,"Cultivar um mundo melhor, valorizando a produção local de alimentos, a diversidade, as culturas regionais e o consumo consciente. A Fazendinha em Casa aproxima quem produz de quem consome, num modelo colaborativo do produtor à mesa,",Startup,Agronegócio,,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Faxina.Online,"A Faxina.Online é uma empresa profissional de limpeza e faxina de ambientes, entre outros facilities, localizada em Divinópolis/MG, especializada em pequenos e médios serviços e criada por Larissa Moura e Felipe Gonçalves.
Carregada em uma plataforma online e orientada ao consumidor, dá à ele o controle sobre demanda, agenda e forma de pagamento, através de uma solicitação rápida e prática.
Beneficiado com os equipamentos necessários e produtos de uso profissional, o cliente recebe como serviço final, na data e hora escolhidas, um ambiente higienizado, por profissionais altamente qualificados, com os produtos corretos e controlados por processos eficazes em livrar de uma vez por todas das dores de cabeça quanto à limpeza.",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,0,0,0,0,0,
Far.me,"A Far.me fornece um serviço individual e personalizado para pacientes que utilizam medicamentos contínuos, em que os pacientes são acompanhados em todos os processos da utilização crônica de medicamentos.",Startup,Saúde,,,Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Fandomers,"Fandomers é uma plataforma multi-plataforma criada por você fãs, escritores, jogadores e seres humanos em geral.
Congratulamo-nos também com alienígenas, monstros e mutantes, você vai encontrar-se cercado por fãs, eu realmente quero dizer isso, não estou brincando rapazes.
Mostre suas habilidades, faça o upload de sua própria música, se você é um cantor ou uma banda. Rebelde rebelde, por favor, seja a diferença que precisamos.
Mostre ao mundo seu talento como escritor, venda seus livros em nosso editor e compartilhe seu fanfic gratuitamente.
Conhecemos sua luta para encontrar um lugar para ser você mesmo.",Startup,Publicidade,,1. Ideação,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
FacilControle,Fintech de gestão financeira que reduz custo com boleto bancário e automatiza o envio do boleto junto com a nota fiscal.,Startup,Finanças,,2. Operação,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Fab.,"A Fab. é uma multimarcas que une tradição com informação de moda, fast fashion e produtos de qualidade a preços super especiais.",Média e Grande Empresa,Têxtil e Vestuário,,,Executores Diretos das Missões,0,0,0,0,0,0,
F4Ti Soluções,"A F4TI Soluções em TI é uma empresa voltada para a tecnologia, especializada em desenvolver estratégias sustentáveis capazes de promover diferenciais competitivos através da utilização da tecnologia da informação.
O que Fazemos
Hoje a F4Ti Soluções atua fortemente no seguimento de software de gestão empresarial, atuando em áreas como financeira, estoque, vendas, serviços entre outros, tendo como diferencial a preocupação de entregar somente aquilo que o cliente realmente precisa, com layout de fácil aprendizado e leitura, desenvolvemos a solução para seu negócio através de softwares de gestão que são aprimorados continuamente, mais detalhes na nossa área de Soluções.",Startup,Publicidade,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Exato Soluções,"A exato soluções é uma empresa jovem com foco em fornecer soluções voltadas a controles gerenciais, ficais e financeiros para nossos clientes. Buscamos agregar valor às informações gerenciais, com base em dados confiáveis e rápidos.",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
EWorld Tecnologia,Desenvolvemos soluções mobile e de marketing digital para empresas de vários nichos de negócios,Startup,Tecnologia da informação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Evnts,"A Evnts é uma solução de hospedagem para grupos e eventos, oferecendo facilidade e economia para viajantes em todo Brasil.",Startup,Entretenimento,,2. Operação,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Eucontrato,"O euContrato é uma plataforma de interação e conexão entre consumidores, profissionais e empresas da área de construção civil e utilidades do lar, facilitando o processo de contratação através de um ambiente de qualificação colaborativo.",Startup,Construção,,2. Operação,Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
Espresso,"App para lançamento de despesas e comprovantes, e plataforma web para gestão de relatórios. Elimine os recibos de papel e as planilhas de excel.",Startup,Finanças,,4. Escala,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
eSolvere,"A eSolvere Tecnologia LTDA, desenvolve soluções baseadas em análise de imagem, obtida por câmera para o controle de qualidade de informação nos produtos fabricados na indústria.",Empresa de Base Tecnológica (EBT),Indústria 4.0,,,Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania"
Esfera Tecnologia,"A Esfera Tecnologia é especialista em estratégia comercial. Utilizamos tecnologias inovadoras: a Realidade Virtual, a Realidade Aumentada, a Landing Page e Mineração de Dados para análise de comportamento e tomada de decisão com um objetivo final: Resultados Comerciais.",Startup,Turismo,,3. Tração,Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
Escola Ninja WP,"Encontre um Profissional WordPress
A Escola Ninja WP ajuda você a encontrar o profissional certo para o seu projeto",Startup,Educação,,,Executores Diretos das Missões,0,0,0,0,0,0,
Escola Móvel de Música,Aulas de diversos instrumentos musicais e canto; em estúdio ou em casa.,Startup,Educação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Escola em Movimento,"O Aplicativo que Revoluciona a Comunicação da sua Escola. Envie comunicados, notícias, convites, lembretes, fotos, avisos, ocorrências, dados acadêmicos, entre outros tipos de informações para os usuários de forma simples e inteligente.",Startup,Educação,,3. Tração,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Ento+,"ENTO+ é uma empresa de pesquisa e experimentação na área agrícola, com foco em Entomologia. O objetivo da empresa é oferecer aos seus clientes pesquisas de alta qualidade, com eficiência e pontualidade para gerar resultados de impacto",Startup,Agronegócio,,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
eNotas,"Potencializamos negócios de alto impacto ao cuidar da emissão de suas Notas Fiscais Eletrônicas de Serviço (NFS-e), Produto (NF-e) e Consumidor (NFC-e), automagicamente.",Startup,Finanças,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Enge Mais Brasil,"A Engemais é um aplicativo voltada para construção civil, possibilitando o contato direto entre o usuário e os profissionais da construção civil, terão também informações sobre financiamento de imóveis junto a Caixa, cursos promovidos pela Engemais, além de informações gerais sobre a empresa e obras por ela executada.",Startup,Construção,,1. Ideação,Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
enercred,Ajudar consumidores residenciais que querem reduzir os gastos de sua conta de luz utilizando energia renovável.,Startup,Energia,,2. Operação,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Ene Soluções,"Atuando no mercado de TI desde 2011, a eNe Soluções é especialista em UI/UX, desenvolvimento Front-end, SEO e BIZ. 
 
 Criamos com base em 3 pilares:
 - a experiência do usuário;
 - os objetivos do negócio do cliente;
 - o desenvolvimento da programação ideal com as melhores tecnologias para atingir os resultados.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Enacom,"Empresa especializada em P&D na área de Engenharia, Inteligência Computacional, Desenvolvimentos de Software e Aplicativos Mobile",Startup,Indústria 4.0,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
EMX TECNOLOGIA,"A EMX é uma empresa que nasceu motivada pelo desejo de levar para o mercado soluções únicas e de alta qualidade, utilizando tecnologias inteligentes, definitivas, amigáveis e personalizadas para atender ao diversos perfis e portes de empresas.
Com uma metodologia de trabalho diferenciada, a EMX vai além da inovação ou da criação de novas tecnologias, mas na incorporação de novos conhecimentos que sejam capazes de promover o aumento da produtividade, a otimização do negócio e a redução de custos. Aliado a tudo isso, a EMX oferece atendimento ágil e eficiente, servindo ao cliente no prazo que a sua necessidade determina.",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,1,0,1,1,0,"M2 Saude, M4 Transformacao Digital, M5 Bioeconomia Energia"
eMotion Studios,"Um Startup Studio é uma empresa que constrói startups em paralelo e repetidamente, fornecendo não só infraestrutura para empreendedores e talentos, como também uma série de serviços e recursos compartilhados.
Ao unir a inteligência de mercado, a construção de negócios e o capital de risco, nosso portfólio conta com uma vantagem única para lançar, acelerar e transformar ideias em Startups de sucesso!
Disponibilizamos, num só lugar, pesquisas, análises, ferramentas e insights para ter boas ideias, inovar, planejar e partir para a ação. Testamos e validamos ideias, mercado e solução, com infraestrutura própria e recursos altamente qualificados para acelerar o negócio e ainda temos um fundo de fase inicial que apoia empreendedores e grandes ideias na viabilização do negócio em startup de sucesso.",Startup,Gestão de negócios,,,Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
eMiolo.com,"A eMiolo.com focaliza seu campo de atuação no desenvolvimento de soluções inteligentes e customizadas em softwares para a plataforma web (sistemas que funcionam via navegadores de internet). A empresa atende a clientes de vários segmentos e tamanhos, com o desenvolvimento de websites gerenciáveis e sistemas de gestão de processos, projetos e negócios com as mais diversas funcionalidades e controles. Entre nossos clientes estão: Viação Progresso, Medquímica Indústria Farmacêutica, Caricatura Jeans, CESAMA, OAB Juiz de Fora, Rodrigues Monteiro Construtora, Biokratos Consultoria Ambiental, CaipiOne, Snowmass, Pasadena Turismo, Rubens Andrade Advogados, Arpel Homem, Alubras Esquadrias de Alumínio, VIVO Empresas (Dealers: Itatelecom, Greentelecom, Cell-Líder, Telmix, Cotrim, Overcell, Verome, Talk-Cell, entre outros), Mary Milk, Pró-Etiquetas, Restaurante Filé de Alface, SIE Cursos Integrados, André Turismo, Viva Eventos, Cervejaria Barbante, Clyrep, entre outros. A eMiolo.com é associada ASSESPRO-MG, o que garante a sua qualidade e seriedade nos projetos aos quais se dedica.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
EMGE - Prospecção Coworking,"A Emge em seus mais de 6 anos de mercado, é formada por uma equipe com experiência em prospecção de mercado, relacionamento com o cliente e técnicas de negociação.
Nosso foco é absorver atividades comerciais que não fazem parte do Core Business da empresa ou fortalecer a equipe de vendas fornecendo serviços comerciais que potencializam os resultados.",Startup,Publicidade,,,Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital"
EmCash,"Somos uma fintech constituída sobre a estrutura de Sociedade de
 Crédito entre Pessoas (SEP) com o objetivo de intermediar operações
 entre credores e devedores (peer-to-peer lending), os quais através de
 nossa plataforma tecnológica podem optar, de forma ágil e eficiente,
 por uma melhor rentabilidade para os investidores ou por uma menor
 taxa de juros para os tomadores de crédito.
 
 A Emcash nasceu com uma forte DNA de start-up de tecnologia
 associada a uma larga experiências dos seus empreendedores e
 mentores, o quais aportam anos de experiência desenvolvidas em gestão
 financeira corporativa e no mercado financeiro com produtos de crédito
 pessoal, análise de risco de crédito pessoal e em processos de cobrança
 de inadimplência.",Startup,Finanças,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
EMAP Solar,"A EMAP SOLAR é especialista e pioneira no Brasil em implantação de usinas fotovoltaicas e sistemas fotovoltaicos de geração distribuída. Já são mais de 400 projetos executados que somam mais 6 MWp de potência.
 
 Temos projetos executados em todo o território nacional, atendendo aos mais exigentes clientes que buscam economia, competitividade e maior visibilidade para seus negócios.
 
 Somos uma empresa de engenharia, mas também somos mais. Somos uma empresa de SOLUÇÕES, que entende cada cliente para propor uma nova forma de se relacionar com a energia. Mais INTELIGENTE, mais CONSCIENTE, mais SUSTENTÁVEL.",Startup,Energia,,,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Eligis,"Ajudamos estudantes a acertarem na escolha do curso e faculdades a
encontrarem o aluno ideal",Startup,Educação,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Elfutec,"A ELFUTEC foi arquitetada, estruturada e desenvolvida para compartilhar conhecimentos, desenvolver e aplicar cursos e-learning, semipresenciais e presenciais, facilmente assimiláveis e aplicáveis a várias áreas da sociedade.",Startup,Educação,,,Executores Diretos das Missões,0,0,0,0,0,0,
